151	242	141	186
192	246	160	170
253	87	45	233
246	205	275	151
178	237	46	178
290	286	9	187
131	131	38	42
158	75	196	103
51	20	31	31
185	185	185	185
35	27	152	183
164	128	234	234
279	115	29	43
71	71	71	71
123	150	112	173
50	50	50	50
76	46	196	286
233	252	184	189
250	239	106	183
77	77	77	77
48	111	58	13
176	67	120	37
135	248	52	17
292	226	124	132
170	170	170	170
282	282	282	282
213	213	213	213
161	225	231	242
220	49	156	172
257	257	257	257
82	82	140	72
208	208	208	208
151	269	195	7
89	89	89	89
106	295	173	295
56	56	56	56
31	57	122	215
181	37	233	93
209	209	84	224
77	218	175	176
234	218	234	164
166	57	121	245
98	7	49	94
295	295	295	295
71	115	149	94
161	239	239	169
236	236	236	236
270	298	111	86
145	70	14	156
238	256	238	13
157	246	139	144
64	169	228	241
91	85	27	220
73	284	275	212
195	277	275	155
170	74	273	273
203	154	274	216
116	290	113	202
167	167	167	167
202	202	202	202
22	130	60	173
144	214	282	19
184	12	33	249
259	6	231	286
78	78	78	78
10	17	69	192
124	256	278	156
259	259	259	259
189	143	234	63
243	243	243	243
278	9	9	277
27	287	173	157
5	258	246	151
153	216	75	208
280	122	30	65
216	166	20	251
203	48	197	274
180	255	162	195
213	169	169	132
183	183	183	183
269	269	269	269
163	163	163	163
130	130	130	130
217	49	205	205
118	118	118	118
258	86	90	179
234	290	272	284
100	67	283	124
269	188	188	195
126	90	254	254
181	181	181	181
195	90	117	300
196	15	79	11
62	13	291	62
151	234	66	112
289	127	15	23
195	275	95	6
85	208	132	204
299	58	11	192
174	197	182	41
186	271	100	168
111	39	191	220
22	182	26	182
148	256	148	35
157	157	157	157
162	77	32	165
175	79	243	109
207	32	32	20
93	269	249	37
61	35	14	36
77	89	81	77
111	225	163	198
246	134	23	75
204	275	80	199
125	44	127	227
191	132	255	127
163	205	166	166
156	156	156	156
243	243	243	243
24	24	24	24
103	103	103	103
176	176	176	176
223	58	239	280
69	129	156	244
79	222	75	276
186	282	57	251
276	54	134	66
235	291	55	111
13	207	207	247
221	84	102	134
257	118	285	17
62	232	174	114
195	202	19	128
47	253	77	280
184	48	25	217
138	54	99	281
60	90	286	90
271	111	20	29
163	51	192	111
230	17	236	194
242	139	120	227
198	198	161	254
238	152	177	151
234	234	234	234
83	264	94	94
16	16	16	16
298	121	138	248
136	136	136	136
249	247	227	229
68	285	139	66
57	107	37	291
95	177	256	117
182	192	214	295
233	233	233	233
13	159	66	77
166	39	221	71
35	220	113	60
97	242	33	104
208	208	251	211
142	21	78	142
294	62	247	250
72	200	46	123
254	206	53	5
45	182	299	38
283	265	265	52
255	255	255	255
215	204	251	91
253	30	30	281
248	135	192	40
236	21	192	44
200	85	178	271
152	173	152	61
277	200	120	162
48	46	48	226
174	228	17	104
30	206	73	178
213	213	213	213
279	62	121	95
73	250	42	72
9	140	75	75
283	194	238	283
216	157	9	157
154	154	154	154
72	72	72	72
47	176	173	47
253	260	260	186
268	241	179	139
47	47	47	47
172	42	73	172
130	213	177	28
203	168	167	187
